mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm
ArN2,model,0.1,1,307.75387693846926,1.874795580186547e-10
ArN2,model,0.1,1,308.0040020010005,3.0370693276395697e-10
ArN2,model,0.1,1,308.25412706353177,4.898051657603379e-10
ArN2,model,0.1,1,308.504252126063,7.864296649437349e-10
ArN2,model,0.1,1,308.7543771885943,1.2570839568482525e-09
ArN2,model,0.1,1,309.0045022511256,2.0004907667295164e-09
ArN2,model,0.1,1,309.25462731365684,3.1693973410994392e-09
ArN2,model,0.1,1,309.5047523761881,4.999017970017939e-09
ArN2,model,0.1,1,309.75487743871935,7.849835887093337e-09
ArN2,model,0.1,1,310.0050025012506,1.2271688625870817e-08
ArN2,model,0.1,1,310.2551275637819,1.9099233921970008e-08
ArN2,model,0.1,1,310.50525262631317,2.9593439170090906e-08
ArN2,model,0.1,1,310.7553776888444,4.565021224970123e-08
ArN2,model,0.1,1,311.0055027513757,7.010645929008752e-08
ArN2,model,0.1,1,311.2556278139069,1.0718675841004923e-07
ArN2,model,0.1,1,311.50575287643824,1.631518906629902e-07
ArN2,model,0.1,1,311.7558779389695,2.472355712805398e-07
ArN2,model,0.1,1,312.00600300150074,3.7299041426899096e-07
ArN2,model,0.1,1,312.256128064032,5.602118055315258e-07
ArN2,model,0.1,1,312.5062531265633,8.376733775470714e-07
ArN2,model,0.1,1,312.75637818909456,1.2469959425089567e-06
ArN2,model,0.1,1,313.0065032516258,1.8480905155544372e-06
ArN2,model,0.1,1,313.25662831415707,2.7267750198318914e-06
ArN2,model,0.1,1,313.5067533766883,4.0053755821599e-06
ArN2,model,0.1,1,313.75687843921963,5.857402331542226e-06
ArN2,model,0.1,1,314.0070035017509,8.527755422696595e-06
ArN2,model,0.1,1,314.25712856428214,1.2360393226564033e-05
ArN2,model,0.1,1,314.5072536268134,1.7836010082091256e-05
ArN2,model,0.1,1,314.75737868934465,2.5623060476396984e-05
ArN2,model,0.1,1,315.00750375187596,3.6646471476628736e-05
ArN2,model,0.1,1,315.2576288144072,5.217965442132408e-05
ArN2,model,0.1,1,315.50775387693847,7.396701673403978e-05
ArN2,model,0.1,1,315.7578789394697,0.00010438614949449161
ArN2,model,0.1,1,316.00800400200103,0.00014666129780285708
ArN2,model,0.1,1,316.2581290645323,0.0002051426872070261
ArN2,model,0.1,1,316.50825412706354,0.0002856698634403363
ArN2,model,0.1,1,316.7583791895948,0.00039604148920299113
ArN2,model,0.1,1,317.00850425212604,0.0005466191131890449
ArN2,model,0.1,1,317.25862931465736,0.0007510983574947308
ArN2,model,0.1,1,317.5087543771886,0.0010274878189437708
ArN2,model,0.1,1,317.75887943971986,0.0013993437817582384
ArN2,model,0.1,1,318.0090045022511,0.001897317590802767
ArN2,model,0.1,1,318.25912956478237,0.0025610821833334995
ArN2,model,0.1,1,318.5092546273137,0.003441714703454776
ArN2,model,0.1,1,318.75937968984493,0.004604623123987211
ArN2,model,0.1,1,319.0095047523762,0.0061331160688869665
ArN2,model,0.1,1,319.25962981490744,0.00813272613706208
